Category: All categories

Region,airpods pro: (11/9/18 - 11/9/19)
California,100
Hawaii,88
Utah,86
Mississippi,86
New York,82
Texas,79
District of Columbia,78
New Jersey,77
Virginia,75
Arizona,74
Alaska,72
Massachusetts,70
Illinois,67
Washington,66
Minnesota,65
Maryland,65
Nebraska,64
Nevada,63
Georgia,63
Rhode Island,62
Colorado,62
Pennsylvania,62
Missouri,61
Oregon,61
Florida,60
North Carolina,60
Tennessee,60
Delaware,58
Connecticut,57
North Dakota,56
Michigan,55
Oklahoma,54
Indiana,53
Kansas,53
Wisconsin,52
Iowa,51
Louisiana,51
Ohio,50
New Mexico,50
Arkansas,50
Idaho,46
Alabama,45
Kentucky,45
South Carolina,44
New Hampshire,43
Maine,41
West Virginia,34
Vermont,31
South Dakota,28
Wyoming,27
Montana,23
